clause_id,doc_id,document,regulation_type,year,pasal,ayat,huruf,angka,source_location,bab,bagian,paragraf,clause_text,word_count,segmentation_note,unit_text_before_atomic_split,is_substantive,non_substantive_reason
C00015,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,11,Pasal 1 angka 11,BAB I,,,Pelestarian fungsi lingkungan hidup adalah rangkaian upaya untuk memelihara kelangsungan daya dukung dan daya tampung lingkungan hidup,17,angka-level clause,Pelestarian fungsi lingkungan hidup adalah rangkaian upaya untuk memelihara kelangsungan daya dukung dan daya tampung lingkungan hidup.,True,substantive_candidate
C00016,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,12,Pasal 1 angka 12,BAB I,,,"Badan usaha adalah perusahaan berbentuk badan hukum yang menjalankan jenis usaha bersifat tetap, terus-menerus, dan didirikan sesuai dengan peraturan perundang-undangan, serta bekerja dan berkedudukan dalam wilayah Negara Kesatuan Republik Indonesia",32,angka-level clause,"Badan usaha adalah perusahaan berbentuk badan hukum yang menjalankan jenis usaha bersifat tetap, terus-menerus, dan didirikan sesuai dengan peraturan perundang-undangan, serta bekerja dan berkedudukan dalam wilayah Negara Kesatuan Republik Indonesia.",True,substantive_candidate
C00017,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,13,Pasal 1 angka 13,BAB I,,,Bentuk usaha tetap adalah badan usaha yang didirikan dan berbadan hukum di luar wilayah Negara Kesatuan Republik Indonesia yang melakukan kegiatan dan berkedudukan di wilayah Negara Kesatuan Republik Indonesia dan wajib mematuhi peraturan perundang-undangan Republik Indonesia,37,angka-level clause,Bentuk usaha tetap adalah badan usaha yang didirikan dan berbadan hukum di luar wilayah Negara Kesatuan Republik Indonesia yang melakukan kegiatan dan berkedudukan di wilayah Negara Kesatuan Republik Indonesia dan wajib mematuhi peraturan perundang-undangan Republik Indonesia.,True,substantive_candidate
C00018,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,14,Pasal 1 angka 14,BAB I,,,Cadangan penyangga energi adalah jumlah ketersediaan sumber energi dan energi yang disimpan secara nasional yang diperlukan untuk memenuhi kebutuhan energi nasional pada kurun waktu tertentu,25,angka-level clause,Cadangan penyangga energi adalah jumlah ketersediaan sumber energi dan energi yang disimpan secara nasional yang diperlukan untuk memenuhi kebutuhan energi nasional pada kurun waktu tertentu.,True,substantive_candidate
C00019,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,15,Pasal 1 angka 15,BAB I,,,"Penyediaan energi adalah kegiatan atau proses menyediakan energi, baik dari dalam negeri maupun dari luar negeri",16,angka-level clause,"Penyediaan energi adalah kegiatan atau proses menyediakan energi, baik dari dalam negeri maupun dari luar negeri.",True,substantive_candidate
C00020,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,16,Pasal 1 angka 16,BAB I,,,"Pemanfaatan energi adalah kegiatan menggunakan energi, baik langsung maupun tidak langsung, dari sumber energi",14,angka-level clause,"Pemanfaatan energi adalah kegiatan menggunakan energi, baik langsung maupun tidak langsung, dari sumber energi.",True,substantive_candidate
C00021,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,17,Pasal 1 angka 17,BAB I,,,"Pengelolaan energi adalah penyelenggaraan kegiatan penyediaan, pengusahaan, dan pemanfaatan energi serta penyediaan cadangan strategis dan konservasi sumber daya energi",19,angka-level clause,"Pengelolaan energi adalah penyelenggaraan kegiatan penyediaan, pengusahaan, dan pemanfaatan energi serta penyediaan cadangan strategis dan konservasi sumber daya energi.",True,substantive_candidate
C00022,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,18,Pasal 1 angka 18,BAB I,,,Pengusahaan energi adalah kegiatan menyelenggarakan usaha penyediaan dan/atau pemanfaatan energi,11,angka-level clause,Pengusahaan energi adalah kegiatan menyelenggarakan usaha penyediaan dan/atau pemanfaatan energi.,True,substantive_candidate
C00023,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,19,Pasal 1 angka 19,BAB I,,,Pengusahaan jasa energi adalah kegiatan menyelenggarakan usaha jasa yang secara langsung atau tidak langsung berkaitan dengan penyediaan dan/atau pemanfaatan energi,21,angka-level clause,Pengusahaan jasa energi adalah kegiatan menyelenggarakan usaha jasa yang secara langsung atau tidak langsung berkaitan dengan penyediaan dan/atau pemanfaatan energi.,True,substantive_candidate
C00024,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,20,Pasal 1 angka 20,BAB I,,,"Cadangan energi adalah sumber daya energi yang sudah diketahui lokasi, jumlah, dan mutunya",13,angka-level clause,"Cadangan energi adalah sumber daya energi yang sudah diketahui lokasi, jumlah, dan mutunya.",True,substantive_candidate
C00025,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,21,Pasal 1 angka 21,BAB I,,,Diversifikasi energi adalah penganekaragaman pemanfaatan sumber energi,7,angka-level clause,Diversifikasi energi adalah penganekaragaman pemanfaatan sumber energi.,True,substantive_candidate
C00026,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,22,Pasal 1 angka 22,BAB I,,,Cadangan strategis adalah cadangan energi untuk masa depan,8,angka-level clause,Cadangan strategis adalah cadangan energi untuk masa depan.,True,substantive_candidate
C00027,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,23,Pasal 1 angka 23,BAB I,,,"Konservasi energi adalah upaya sistematis, terencana, dan terpadu guna melestarikan sumber daya energi dalam negeri serta meningkatkan efisiensi pemanfaatannya",19,angka-level clause,"Konservasi energi adalah upaya sistematis, terencana, dan terpadu guna melestarikan sumber daya energi dalam negeri serta meningkatkan efisiensi pemanfaatannya.",True,substantive_candidate
C00028,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,24,Pasal 1 angka 24,BAB I,,,Konservasi sumber daya energi adalah pengelolaan sumber daya energi yang menjamin pemanfaatannya dan persediaannya dengan tetap memelihara dan meningkatkan kualitas nilai dan keanekaragamannya,23,angka-level clause,Konservasi sumber daya energi adalah pengelolaan sumber daya energi yang menjamin pemanfaatannya dan persediaannya dengan tetap memelihara dan meningkatkan kualitas nilai dan keanekaragamannya.,True,substantive_candidate
C00029,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,25,Pasal 1 angka 25,BAB I,,,"Kebijakan energi nasional adalah kebijakan pengelolaan energi yang berdasarkan prinsip berkeadilan, berkelanjutan, dan berwawasan lingkungan guna terciptanya kemandirian dan ketahanan energi nasional",22,angka-level clause,"Kebijakan energi nasional adalah kebijakan pengelolaan energi yang berdasarkan prinsip berkeadilan, berkelanjutan, dan berwawasan lingkungan guna terciptanya kemandirian dan ketahanan energi nasional.",True,substantive_candidate
C00030,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,26,Pasal 1 angka 26,BAB I,,,"Dewan Energi Nasional adalah suatu lembaga bersifat nasional, mandiri, dan tetap, yang bertanggung jawab atas kebijakan energi nasional",18,angka-level clause,"Dewan Energi Nasional adalah suatu lembaga bersifat nasional, mandiri, dan tetap, yang bertanggung jawab atas kebijakan energi nasional.",True,substantive_candidate
C00031,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,27,Pasal 1 angka 27,BAB I,,,"Rencana umum energi adalah rencana pengelolaan energi untuk memenuhi kebutuhan energi di suatu wilayah, antarwilayah, atau nasional",17,angka-level clause,"Rencana umum energi adalah rencana pengelolaan energi untuk memenuhi kebutuhan energi di suatu wilayah, antarwilayah, atau nasional.",True,substantive_candidate
C00032,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,28,Pasal 1 angka 28,BAB I,,,"Pemerintah Pusat, selanjutnya disebut Pemerintah, adalah Presiden Republik Indonesia yang memegang kekuasaan pemerintahan negara Republik Indonesia sebagaimana dimaksud dalam Undang-Undang Dasar Negara Republik Indonesia Tahun 1945",27,angka-level clause,"Pemerintah Pusat, selanjutnya disebut Pemerintah, adalah Presiden Republik Indonesia yang memegang kekuasaan pemerintahan negara Republik Indonesia sebagaimana dimaksud dalam Undang-Undang Dasar Negara Republik Indonesia Tahun 1945.",True,substantive_candidate
C00033,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,29,Pasal 1 angka 29,BAB I,,,"Pemerintah daerah adalah gubernur, bupati, atau walikota dan perangkat daerah sebagai unsur penyelenggara pemerintahan daerah",15,angka-level clause,"Pemerintah daerah adalah gubernur, bupati, atau walikota dan perangkat daerah sebagai unsur penyelenggara pemerintahan daerah.",True,substantive_candidate
C00034,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 1,,,30,Pasal 1 angka 30,BAB I,,,Menteri adalah menteri yang bidang tugasnya bertanggung jawab di bidang energi,11,angka-level clause,Menteri adalah menteri yang bidang tugasnya bertanggung jawab di bidang energi.,True,substantive_candidate
C00035,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 2,,,,Pasal 2,BAB II,,,"Energi dikelola berdasarkan asas kemanfaatan, rasionalitas, efisiensi berkeadilan, peningkatan nilai tambah, keberlanjutan, kesejahteraan masyarakat, pelestarian fungsi lingkungan hidup, ketahanan nasional, dan keterpaduan dengan mengutamakan kemampuan nasional",26,article-level clause,"Energi dikelola berdasarkan asas kemanfaatan, rasionalitas, efisiensi berkeadilan, peningkatan nilai tambah, keberlanjutan, kesejahteraan masyarakat, pelestarian fungsi lingkungan hidup, ketahanan nasional, dan keterpaduan dengan mengutamakan kemampuan nasional.",True,substantive_candidate
C00036,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 3,,,,Pasal 3,BAB II,,,"Dalam rangka mendukung pembangunan nasional secara berkelanjutan dan meningkatkan ketahanan energi nasional, tujuan pengelolaan energi adalah",16,article-level clause,"Dalam rangka mendukung pembangunan nasional secara berkelanjutan dan meningkatkan ketahanan energi nasional, tujuan pengelolaan energi adalah:",True,substantive_candidate
C00037,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 3,,a,,Pasal 3 huruf a,BAB II,,,tercapainya kemandirian pengelolaan energi,4,huruf-level clause,tercapainya kemandirian pengelolaan energi;,True,substantive_candidate
C00038,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 3,,b,,Pasal 3 huruf b,BAB II,,,"terjaminnya ketersediaan energi dalam negeri, baik dari sumber di dalam negeri maupun di luar negeri",15,huruf-level clause,"terjaminnya ketersediaan energi dalam negeri, baik dari sumber di dalam negeri maupun di luar negeri;",True,substantive_candidate
C00039,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 3,,c,,Pasal 3 huruf c,BAB II,,,tersedianya sumber energi dari dalam negeri dan/atau luar negeri sebagaimana dimaksud pada huruf b untuk,16,huruf-level clause,tersedianya sumber energi dari dalam negeri dan/atau luar negeri sebagaimana dimaksud pada huruf b untuk:,True,substantive_candidate
C00040,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 3,,c,1,Pasal 3 huruf c angka 1,BAB II,,,pemenuhan kebutuhan energi dalam negeri,5,angka-level clause,pemenuhan kebutuhan energi dalam negeri;,True,substantive_candidate
C00041,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 3,,c,2,Pasal 3 huruf c angka 2,BAB II,,,pemenuhan kebutuhan bahan baku industri dalam negeri,7,angka-level clause,pemenuhan kebutuhan bahan baku industri dalam negeri; dan,True,substantive_candidate
C00042,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 3,,d,,Pasal 3 huruf d,BAB II,,,"terjaminnya pengelolaan sumber daya energi secara optimal, terpadu, dan berkelanjutan",10,huruf-level clause,"terjaminnya pengelolaan sumber daya energi secara optimal, terpadu, dan berkelanjutan;",True,substantive_candidate
C00043,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 3,,e,,Pasal 3 huruf e,BAB II,,,termanfaatkannya energi secara efisien di semua sektor,7,huruf-level clause,termanfaatkannya energi secara efisien di semua sektor;,True,substantive_candidate
C00044,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 3,,f,,Pasal 3 huruf f,BAB II,,,tercapainya peningkatan akses masyarakat yang tidak mampu dan/atau yang tinggal di daerah terpencil terhadap energi untuk mewujudkan kesejahteraan dan kemakmuran rakyat secara adil dan merata dengan cara,28,huruf-level clause,tercapainya peningkatan akses masyarakat yang tidak mampu dan/atau yang tinggal di daerah terpencil terhadap energi untuk mewujudkan kesejahteraan dan kemakmuran rakyat secara adil dan merata dengan cara:,True,substantive_candidate
C00045,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 3,,f,1,Pasal 3 huruf f angka 1,BAB II,,,menyediakan bantuan untuk meningkatkan ketersediaan energi kepada masyarakat tidak mampu,10,angka-level clause,menyediakan bantuan untuk meningkatkan ketersediaan energi kepada masyarakat tidak mampu;,True,substantive_candidate
C00046,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 3,,f,2,Pasal 3 huruf f angka 2,BAB II,,,membangun infrastruktur energi untuk daerah belum berkembang sehingga dapat mengurangi disparitas antardaerah,12,angka-level clause,membangun infrastruktur energi untuk daerah belum berkembang sehingga dapat mengurangi disparitas antardaerah;,True,substantive_candidate
C00047,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 3,,g,,Pasal 3 huruf g,BAB II,,,tercapainya pengembangan kemampuan industri energi dan jasa energi dalam negeri agar mandiri dan meningkatkan profesionalisme sumber daya manusia,18,huruf-level clause,tercapainya pengembangan kemampuan industri energi dan jasa energi dalam negeri agar mandiri dan meningkatkan profesionalisme sumber daya manusia;,True,substantive_candidate
C00048,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 3,,i,,Pasal 3 huruf i,BAB II,,,terjaganya kelestarian fungsi lingkungan hidup,5,huruf-level clause,terjaganya kelestarian fungsi lingkungan hidup. Sumber Daya Energi,True,substantive_candidate
C00049,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 4,1,,,Pasal 4 ayat 1,BAB III,Bagian Kesatu,,"Sumber daya energi fosil, panas bumi, hidro skala besar, dan sumber energi nuklir dikuasai oleh negara dan dimanfaatkan untuk sebesar-besar kemakmuran rakyat",23,ayat-level clause,"Sumber daya energi fosil, panas bumi, hidro skala besar, dan sumber energi nuklir dikuasai oleh negara dan dimanfaatkan untuk sebesar-besar kemakmuran rakyat.",True,substantive_candidate
C00050,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 4,2,,,Pasal 4 ayat 2,BAB III,Bagian Kesatu,,Sumber daya energi baru dan sumber daya energi terbarukan diatur oleh negara dan dimanfaatkan untuk sebesar-besar kemakmuran rakyat,19,ayat-level clause,Sumber daya energi baru dan sumber daya energi terbarukan diatur oleh negara dan dimanfaatkan untuk sebesar-besar kemakmuran rakyat.,True,substantive_candidate
C00051,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 4,3,,,Pasal 4 ayat 3,BAB III,Bagian Kesatu,,"Penguasaan dan pengaturan sumber daya energi oleh negara, sebagaimana dimaksud pada ayat (1) dan ayat (2), diselenggarakan oleh Pemerintah sesuai dengan ketentuan peraturan perundang-undangan",25,ayat-level clause,"Penguasaan dan pengaturan sumber daya energi oleh negara, sebagaimana dimaksud pada ayat (1) dan ayat (2), diselenggarakan oleh Pemerintah sesuai dengan ketentuan peraturan perundang-undangan. Cadangan Penyangga Energi",True,substantive_candidate
C00052,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 5,1,,,Pasal 5 ayat 1,BAB III,Bagian Kedua,,"Untuk menjamin ketahanan energi nasional, Pemerintah wajib menyediakan cadangan penyangga energi",11,ayat-level clause,"Untuk menjamin ketahanan energi nasional, Pemerintah wajib menyediakan cadangan penyangga energi.",True,substantive_candidate
C00053,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 5,2,,,Pasal 5 ayat 2,BAB III,Bagian Kedua,,"Ketentuan mengenai jenis, jumlah, waktu, dan lokasi cadangan penyangga energi, sebagaimana dimaksud pada ayat (1), diatur lebih lanjut oleh Dewan Energi Nasional",22,ayat-level clause,"Ketentuan mengenai jenis, jumlah, waktu, dan lokasi cadangan penyangga energi, sebagaimana dimaksud pada ayat (1), diatur lebih lanjut oleh Dewan Energi Nasional. Keadaan Krisis dan Darurat Energi",True,substantive_candidate
C00054,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 5,2,,,Pasal 5 ayat 2,BAB III,Bagian Kedua,,Keadaan Krisis dan Darurat Energi,5,ayat-level clause,"Ketentuan mengenai jenis, jumlah, waktu, dan lokasi cadangan penyangga energi, sebagaimana dimaksud pada ayat (1), diatur lebih lanjut oleh Dewan Energi Nasional. Keadaan Krisis dan Darurat Energi",True,substantive_candidate
C00055,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 6,1,,,Pasal 6 ayat 1,BAB III,Bagian Ketiga,,Krisis energi merupakan kondisi kekurangan energi,6,ayat-level clause,Krisis energi merupakan kondisi kekurangan energi.,True,substantive_candidate
C00056,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 6,2,,,Pasal 6 ayat 2,BAB III,Bagian Ketiga,,Darurat energi merupakan kondisi terganggunya pasokan energi akibat terputusnya sarana dan prasarana energi,13,ayat-level clause,Darurat energi merupakan kondisi terganggunya pasokan energi akibat terputusnya sarana dan prasarana energi.,True,substantive_candidate
C00057,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 6,3,,,Pasal 6 ayat 3,BAB III,Bagian Ketiga,,"Dalam hal krisis energi dan darurat energi, sebagaimana dimaksud pada ayat (1) dan ayat (2), mengakibatkan terganggunya fungsi pemerintahan, kehidupan sosial masyarakat, dan/atau kegiatan perekonomian, Pemerintah wajib melaksanakan tindakan penanggulangan yang diperlukan",33,ayat-level clause,"Dalam hal krisis energi dan darurat energi, sebagaimana dimaksud pada ayat (1) dan ayat (2), mengakibatkan terganggunya fungsi pemerintahan, kehidupan sosial masyarakat, dan/atau kegiatan perekonomian, Pemerintah wajib melaksanakan tindakan penanggulangan yang diperlukan. Harga Energi",True,substantive_candidate
C00058,UU30_2007,UU No. 30 Tahun 2007,Law,2007,Pasal 7,1,,,Pasal 7 ayat 1,BAB III,Bagian Keempat,,Harga energi ditetapkan berdasarkan nilai keekonomian berkeadilan,7,ayat-level clause,Harga energi ditetapkan berdasarkan nilai keekonomian berkeadilan.,True,substantive_candidate
