label_id,policy_theme,definition,n_keywords,keywords
L1,Energy Security,"ketersediaan energi, cadangan energi, ketahanan energi, pasokan energi, krisis/darurat energi, kemandirian energi, dan jaminan pemenuhan kebutuhan energi nasional",65,"ketahanan energi, keamanan energi, kemandirian energi, kedaulatan energi, ketersediaan energi, jaminan ketersediaan energi, cadangan penyangga, cadangan penyangga energi, cadangan energi, cadangan energi nasional, cadangan strategis, cadangan operasional, cadangan bahan bakar, pasokan energi, keamanan pasokan, kontinuitas pasokan, kelangsungan pasokan, keandalan pasokan, penyediaan energi, pemenuhan kebutuhan energi, kebutuhan energi, kebutuhan energi nasional, permintaan energi, proyeksi kebutuhan energi, krisis energi, darurat energi, kondisi krisis energi, gangguan pasokan, kelangkaan energi, kekurangan energi, sumber energi dalam negeri, sumber daya energi nasional, energi primer, penyediaan energi primer, energi final, penyediaan energi final, rasio elektrifikasi, elektrifikasi, keandalan sistem tenaga listrik, sistem ketenagalistrikan, sistem tenaga listrik, daya mampu, daya dukung energi, infrastruktur energi, jaringan energi, transmisi energi, distribusi energi, penyimpanan energi, logistik energi, rantai pasok energi, bahan bakar minyak, bbm, gas bumi, minyak bumi, batubara, tenaga listrik, pembangkit tenaga listrik, pembangkit listrik, kapasitas pembangkit, kapasitas terpasang, cadangan pembangkit, margin cadangan, reserve margin, pengamanan pasokan energi, jaminan pasokan energi"
L2,Energy Access and Equity,"akses masyarakat terhadap energi, pemerataan layanan energi, daerah terpencil, kelompok tidak mampu, keterjangkauan, pelayanan publik, dan keadilan energi",71,"akses masyarakat, akses energi, akses terhadap energi, akses untuk masyarakat, akses tenaga listrik, akses listrik, memperoleh energi, hak memperoleh energi, penyediaan energi bagi masyarakat, pelayanan energi, pelayanan ketenagalistrikan, pelayanan tenaga listrik, pelayanan publik, kepentingan umum, rumah tangga, konsumen rumah tangga, masyarakat pengguna energi, berkeadilan, adil dan merata, keadilan energi, pemerataan, pemerataan energi, pemerataan akses energi, pemerataan listrik, pemerataan pelayanan energi, disparitas, kesenjangan akses, ketimpangan akses, ketimpangan energi, keterjangkauan energi, terjangkau, harga terjangkau, kemampuan masyarakat, daya beli masyarakat, masyarakat tidak mampu, kelompok masyarakat tidak mampu, masyarakat berpenghasilan rendah, rumah tangga miskin, kelompok rentan, masyarakat miskin, daerah terpencil, daerah tertinggal, daerah belum berkembang, daerah perdesaan, wilayah perdesaan, desa, perdesaan, daerah kepulauan, wilayah kepulauan, daerah perbatasan, wilayah perbatasan, wilayah terpencil, wilayah terluar, wilayah tertinggal, daerah terluar, daerah tertinggal terdepan dan terluar, 3t, listrik perdesaan, energi perdesaan, program listrik perdesaan, rasio elektrifikasi daerah, desa berlistrik, penyambungan listrik, sambungan listrik, subsidi masyarakat, subsidi bagi masyarakat, bantuan energi, bantuan listrik, energi untuk masyarakat, akses universal, universal access"
L3,Renewable and Sustainable Energy,"energi baru dan terbarukan, konservasi energi, diversifikasi energi, efisiensi energi, keberlanjutan, transisi energi, bauran energi, dan pemanfaatan sumber energi bersih",108,"energi baru, energi terbarukan, energi baru terbarukan, energi baru dan terbarukan, ebt, sumber energi baru, sumber energi terbarukan, sumber energi baru dan terbarukan, pemanfaatan energi terbarukan, pengembangan energi terbarukan, pengembangan energi baru, pengembangan ebt, konservasi energi, konservasi sumber daya energi, penghematan energi, hemat energi, efisiensi energi, peningkatan efisiensi energi, manajemen energi, audit energi, diversifikasi energi, penganekaragaman energi, substitusi energi, bauran energi, bauran energi nasional, bauran energi primer, target bauran energi, porsi energi terbarukan, transisi energi, transformasi energi, pembangunan berkelanjutan, berkelanjutan, keberlanjutan, lestari, rendah karbon, dekarbonisasi, net zero emission, nze, energi bersih, teknologi energi bersih, teknologi rendah karbon, intensitas energi, elastisitas energi, panas bumi, geothermal, bioenergi, biomassa, biogas, bahan bakar nabati, bbn, biofuel, biodiesel, bioetanol, sinar matahari, energi surya, tenaga surya, sel surya, panel surya, plts, pembangkit listrik tenaga surya, angin, energi angin, tenaga angin, pltb, pembangkit listrik tenaga bayu, tenaga air, energi air, plta, pembangkit listrik tenaga air, mikrohidro, pltmh, arus laut, gelombang laut, energi laut, energi samudera, hidrogen, hidrogen hijau, nuklir, energi nuklir, pltn, pembangkit listrik tenaga nuklir, batubara tergaskan, batubara tercairkan, gasifikasi batubara, pencairan batubara, coal gasification, coal liquefaction, waste to energy, sampah menjadi energi, pemanfaatan sampah menjadi energi, bahan bakar alternatif, energi alternatif, sumber energi alternatif, energi nonfosil, pengurangan energi fosil, energi panas bumi, energi terbarukan berupa panas bumi, pemanfaatan energi terbarukan berupa panas bumi, pemanfaatan panas bumi, pengembangan panas bumi, pengusahaan panas bumi, pembangkit listrik tenaga panas bumi, pembangkit tenaga listrik panas bumi, pembangkit listrik panas bumi, tenaga uap panas bumi, wilayah kerja panas bumi, sumber daya panas bumi, cadangan panas bumi"
L4,Economic and Pricing Policy,"harga energi, subsidi, tarif, insentif, disinsentif, keekonomian, fiskal, pendanaan, investasi, penerimaan negara, dan nilai tambah ekonomi",121,"harga energi, harga jual energi, harga jual, harga keekonomian, nilai keekonomian, keekonomian, keekonomian berkeadilan, tarif energi, tarif listrik, tarif tenaga listrik, tarif ketenagalistrikan, feed-in tariff, subsidi, dana subsidi, subsidi energi, subsidi listrik, subsidi bbm, subsidi bahan bakar, insentif, disinsentif, insentif fiskal, insentif nonfiskal, fiskal, nonfiskal, pajak, perpajakan, bea masuk, penerimaan negara, penerimaan negara bukan pajak, pnbp, royalti, devisa negara, nilai tambah, peningkatan nilai tambah, hilirisasi, industri energi, perekonomian, perekonomian nasional, pertumbuhan ekonomi, lapangan kerja, kesempatan kerja, daya beli, daya beli masyarakat, keterjangkauan harga, kemampuan ekonomi masyarakat, pendanaan, pembiayaan, investasi, penanaman modal, modal, perbankan, lembaga keuangan, alokasi dana, alokasi anggaran, anggaran, apbn, apbd, badan usaha, bumn, bumd, koperasi, swasta, pasar tenaga listrik, jual beli tenaga listrik, perjanjian jual beli tenaga listrik, pjbl, premi pengurasan, biaya produksi, biaya pokok penyediaan, bpp, biaya energi, biaya penyediaan energi, skema pembiayaan, risiko investasi, kelayakan usaha, kelayakan ekonomi, economic feasibility, commercial feasibility, mekanisme pasar, harga pasar, struktur tarif, kompensasi, dana kompensasi, pengadaan energi, biaya pengadaan, pembiayaan infrastruktur energi, dukungan pendanaan, dukungan fiskal, pendapatan negara, kontribusi ekonomi, harga patokan tertinggi, harga pembelian tenaga listrik, harga pembelian tenaga uap, harga kesepakatan, persetujuan harga, evaluasi harga, negosiasi harga, faktor lokasi, angka faktor lokasi, faktor f, cent usd/kwh, usd/kwh, perjanjian jual beli uap panas bumi, pjbu, commercial operation date, cod, busbar, excess power, kelebihan tenaga listrik, harga fasilitas jaringan, fasilitas baterai, fasilitas penyimpanan energi listrik, blended finance, penjaminan, derisking, penawaran harga, harga dasar, eskalasi, tarif iuran, iuran tetap, iuran produksi"
L5,Governance and Institutional Responsibility,"kewenangan pemerintah, kelembagaan, DEN, RUEN, RUED, perencanaan, pengawasan, pembinaan, koordinasi lintas sektor, perizinan, regulasi, dan tanggung jawab institusional",113,"pemerintah, pemerintah pusat, pemerintah daerah, menteri, kementerian, gubernur, bupati, walikota, dewan energi nasional, den, sekretariat jenderal dewan energi nasional, rencana umum energi nasional, ruen, rencana umum energi daerah, rued, rued-p, rued provinsi, rued kabupaten, rencana umum energi, rukun, rukn, ruptl, kebijakan energi nasional, ken, perencanaan energi, rencana energi, rencana strategis, kebijakan nasional, strategi nasional, dokumen perencanaan, rencana pembangunan jangka menengah, rpjmn, rencana pembangunan jangka panjang, rpjpn, peraturan, peraturan perundang-undangan, regulasi, ketentuan, ketentuan peraturan perundang-undangan, kewenangan, wewenang, tugas dan fungsi, tanggung jawab, kewajiban pemerintah, urusan pemerintahan, kewenangan daerah, kelembagaan, institusi, badan pengatur, badan pelaksana, badan usaha, pengelola energi, pengelolaan energi, pengawasan, pembinaan, pengendalian, monitoring, evaluasi, pemantauan, pelaporan, laporan, koordinasi, sinkronisasi, harmonisasi, lintas sektor, koordinasi lintas sektor, rapat koordinasi, sidang paripurna, perizinan, izin usaha, izin pemanfaatan, izin penyediaan, persetujuan, penetapan, ditetapkan, menetapkan, menyusun, mengatur, diatur, melaksanakan, pelaksanaan, implementasi, program nasional, program pemerintah, pedoman, rujukan, acuan, standar, norma, prosedur, kriteria, nspk, tata kelola, governance, administrasi, kebijakan, strategi, arah kebijakan, rencana aksi, target nasional, sasaran nasional, apbn, apbd, anggaran pendapatan dan belanja negara, anggaran pendapatan dan belanja daerah, kerja sama, kemitraan, partisipasi masyarakat, peran serta masyarakat, koordinasi pemerintah pusat dan daerah, pembagian kewenangan, desentralisasi, otonomi daerah"
L6,Environmental Protection and Safety,"perlindungan lingkungan, keselamatan energi, kesehatan, keselamatan kerja, pencemaran, limbah, emisi, risiko teknologi, risiko nuklir, dan pemulihan dampak",77,"lingkungan hidup, perlindungan lingkungan, pengelolaan lingkungan, berwawasan lingkungan, pelestarian fungsi lingkungan, daya dukung lingkungan, daya tampung lingkungan, ramah lingkungan, pembangunan ramah lingkungan, pencemaran, pencemaran lingkungan, kerusakan lingkungan, dampak lingkungan, analisis mengenai dampak lingkungan, amdal, upaya pengelolaan lingkungan, ukl, upaya pemantauan lingkungan, upl, emisi, emisi karbon, gas rumah kaca, grk, perubahan iklim, mitigasi perubahan iklim, adaptasi perubahan iklim, rendah emisi, limbah, limbah energi, limbah b3, limbah radioaktif, bahan berbahaya dan beracun, keselamatan, kesehatan, keselamatan kerja, kesehatan kerja, k3, keselamatan dan kesehatan kerja, keselamatan instalasi, keselamatan ketenagalistrikan, keselamatan energi, keselamatan nuklir, keamanan nuklir, risiko kecelakaan, kecelakaan nuklir, kecelakaan kerja, bahaya radiasi, proteksi radiasi, paparan radiasi, standar keselamatan, standar lingkungan, standar emisi, dampak sosial, risiko sosial, risiko lingkungan, ganti rugi, kompensasi, pemulihan dampak, rehabilitasi lingkungan, reklamasi, restorasi lingkungan, tanggung jawab lingkungan, tanggung jawab sosial, perlindungan masyarakat, keselamatan masyarakat, keamanan instalasi, pengamanan instalasi, bencana, risiko bencana, keadaan darurat, penanggulangan keadaan darurat, pengurangan risiko, pengendalian pencemaran, pencegahan pencemaran, pengurangan emisi, pengelolaan limbah, pengendalian dampak lingkungan"
