doc_id,document,appendix_no,appendix_id,appendix_title_preview,appendix_chars,appendix_lines,action
PERPRES112_2022,Perpres No. 112 Tahun 2022,1,LAMPIRAN I,LAMPIRAN I PERATURAN PRESIDEN REPUBLIK INDONESIA NOMOR 112 TAHUN 2022 TENTANG PERCEPATAN PENGEMBANGAN ENERGI TERBARUKAN UNTUK PENYEDIAAN TENAGA LISTRIK HARGA PEMBELIAN TENAGA LISTRIK ENERGI TERBARUKAN,8146,202,excluded_from_main_clause_labeling
PERPRES112_2022,Perpres No. 112 Tahun 2022,2,LAMPIRAN II,LAMPIRAN II PERATURAN PRESIDEN REPUBLIK INDONESIA NOMOR 112 TAHUN 2022 TENTANG PERCEPATAN PENGEMBANGAN ENERGI TERBARUKAN UNTUK PENYEDIAAN TENAGA LISTRIK BESARAN ANGKA FAKTOR LOKASI (F),627,37,excluded_from_main_clause_labeling
